AREA,orientation,n,originalPlace,year
101141000000,k,1,engel's,2012
1009120000,l,7,iakimanka,2012
1009120000,k,1,iakimanka,2012
1009120000,k,1,iakimanka,2011
3035630000000,l,1,iakutiia,2004
3035630000000,k,1,iakutiia,2006
3035630000000,k,1,iakutsk,2006
677128000000,l,1,iamal,2006
677128000000,l,1,ianao,2012
159839000000,k,1,iankovy,2003
36156700000,l,2,iaroslavl',2012
36156700000,k,4,iaroslavl',2010
