AREA,orientation,n,originalPlace,year
417593000000,k,1,komi,2008
417593000000,l,1,komi,2003
417593000000,k,1,komi,2007
84480900000,k,1,konakovo,2005
534822000000,k,1,konda,2005
534822000000,l,1,konda,2005
172464000000,l,1,kondopoga,2006
172464000000,k,1,kondopoga,2009
172464000000,k,1,kondopoga,2012
88634600000,l,1,kopeisk,2012
25714300000,l,1,kortneva,2007
25714300000,k,2,kortneva,2009
25714300000,k,1,kortneva,2010
60248100000,l,1,kostroma,2008
60248100000,k,1,kostroma,2012
60248100000,l,2,kostroma,2012
60248100000,k,2,kostroma,2004
307619000000,k,1,kotlas,2005
45938100000,l,1,krasnogorsk,2009
45938100000,k,1,krasnogorsk,2010
45938100000,l,1,krasnogorsk,2011
45938100000,k,2,krasnogorsk,2006
75617300000,l,1,krasnodar,2011
75617300000,k,2,krasnodar,2009
75617300000,l,1,krasnodar,2012
75617300000,k,2,krasnodar,2006
413018000000,l,2,krasnokamensk,2006
413018000000,k,1,krasnokamensk,2005
128003000000,l,1,krasnokamsk,2011
194272000000,l,1,krasnotur'insk,2009
4496400000,l,1,krasnoiarsk,2011
4496400000,k,4,krasnoiarsk,2007
4496400000,l,2,krasnoiarsk,2009
4496400000,k,1,krasnoiarsk,2003
15610900,k,1,kronshtadt,2011
15610900,l,1,kronshtadt,2013
15610900,k,1,kronshtadt,2005
75617300000,l,3,krymsk,2012
75617300000,k,4,krymsk,2012
43351300000,k,1,kuznetsk,2007
43351300000,l,1,kuznetsk,2006
43351300000,k,1,kuznetsk,2006
1009120000,k,1,kuz'minki,2011
1009120000,k,1,kuz'minki,2004
177881000000,l,1,kuibyshev,2004
177881000000,k,1,kuibyshev,2007
177881000000,l,1,kuibyshev,2003
177881000000,k,1,kuibyshev,2009
128003000000,k,1,kungur,2007
45938100000,k,2,kupavna,2006
30003900000,l,1,kursk,2012
30003900000,k,1,kursk,2006
30003900000,k,2,kursk,2008
30003900000,k,1,kurchatov,2004
30003900000,l,1,kurchatov,2013
30003900000,k,1,kurchatov,2010
88634600000,l,1,kusa,2010
168539000000,l,1,kyzyl,2007
88634600000,k,1,kyshtym,2004
1404590000,l,3,leningrad,2007
1404590000,k,13,leningrad,2003
